candidate,n,mbe,abs_mbe,rmse,weighted,m3_mbe,m3_rmse,max_abs_month_mbe,p95_abs_station_month_mbe,risk_score,mode,beta,shrink,alpha,alpha_early,alpha_late,ratio_clip,dist_power,shape,gate,neutral,mean_abs_delta_vs_anchor,mean_delta_vs_anchor,changed_row_ratio,weighted_delta_vs_anchor,rmse_delta_vs_anchor,risk_delta_vs_anchor,selection_score
shape_v166_anchor,23808,2.6749269931484503,2.6749269931484503,56.738988458055545,29.706957725602,2.6749269931484503,56.738988458055545,2.6749269931484503,12.53201191263327,29.84986559495962,,,,,,,,,,,,,,,,,,
shape_v177_anchor,23808,2.6749269931484503,2.6749269931484503,56.738988458055545,29.706957725602,2.6749269931484503,56.738988458055545,2.6749269931484503,12.53201191263327,29.84986559495962,,,,,,,,,,,,,,,,,,
shape_v166_add_b1.00_s0.30_ae0.08_al0.18_c0.12_dp1.25_edge_global,23808,2.6749269931484423,2.6749269931484423,56.730013824465196,29.702470408806818,2.6749269931484423,56.730013824465196,2.6749269931484423,12.378015175783842,29.844608294480192,add,1.0,0.3,0.15,0.08,0.18,0.12,1.25,shape_v166,edge,global,0.420567321604962,-7.926753638183913e-15,0.46866599462365593,-0.004487316795181329,-0.008974633590348446,-0.005257300479428295,29.844608294480196
shape_v166_add_b1.00_s0.30_ae0.08_al0.18_c0.12_dp1.25_transition_global,23808,2.6749269931484423,2.6749269931484423,56.730013824465196,29.702470408806818,2.6749269931484423,56.730013824465196,2.6749269931484423,12.378015175783842,29.844608294480192,add,1.0,0.3,0.15,0.08,0.18,0.12,1.25,shape_v166,transition,global,0.420567321604962,-7.926753638183913e-15,0.46866599462365593,-0.004487316795181329,-0.008974633590348446,-0.005257300479428295,29.844608294480196
shape_v177_add_b1.00_s0.30_ae0.08_al0.18_c0.12_dp1.25_edge_global,23808,2.6749269931484423,2.6749269931484423,56.730013824465196,29.702470408806818,2.6749269931484423,56.730013824465196,2.6749269931484423,12.378015175783842,29.844608294480192,add,1.0,0.3,0.15,0.08,0.18,0.12,1.25,shape_v177,edge,global,0.420567321604962,-7.926753638183913e-15,0.46866599462365593,-0.004487316795181329,-0.008974633590348446,-0.005257300479428295,29.844608294480196
shape_v177_add_b1.00_s0.30_ae0.08_al0.18_c0.12_dp1.25_transition_global,23808,2.6749269931484423,2.6749269931484423,56.730013824465196,29.702470408806818,2.6749269931484423,56.730013824465196,2.6749269931484423,12.378015175783842,29.844608294480192,add,1.0,0.3,0.15,0.08,0.18,0.12,1.25,shape_v177,transition,global,0.420567321604962,-7.926753638183913e-15,0.46866599462365593,-0.004487316795181329,-0.008974633590348446,-0.005257300479428295,29.844608294480196
shape_v166_add_b1.00_s0.30_ae0.08_al0.18_c0.12_dp2.00_edge_global,23808,2.6749269931484423,2.6749269931484423,56.730013824465196,29.702470408806818,2.6749269931484423,56.730013824465196,2.6749269931484423,12.378015175783842,29.844608294480192,add,1.0,0.3,0.15,0.08,0.18,0.12,2.0,shape_v166,edge,global,0.420567321604962,-7.926753638183913e-15,0.46866599462365593,-0.004487316795181329,-0.008974633590348446,-0.005257300479428295,29.844608294480196
shape_v166_add_b1.00_s0.30_ae0.08_al0.18_c0.12_dp2.00_transition_global,23808,2.6749269931484423,2.6749269931484423,56.730013824465196,29.702470408806818,2.6749269931484423,56.730013824465196,2.6749269931484423,12.378015175783842,29.844608294480192,add,1.0,0.3,0.15,0.08,0.18,0.12,2.0,shape_v166,transition,global,0.420567321604962,-7.926753638183913e-15,0.46866599462365593,-0.004487316795181329,-0.008974633590348446,-0.005257300479428295,29.844608294480196
shape_v177_add_b1.00_s0.30_ae0.08_al0.18_c0.12_dp2.00_edge_global,23808,2.6749269931484423,2.6749269931484423,56.730013824465196,29.702470408806818,2.6749269931484423,56.730013824465196,2.6749269931484423,12.378015175783842,29.844608294480192,add,1.0,0.3,0.15,0.08,0.18,0.12,2.0,shape_v177,edge,global,0.420567321604962,-7.926753638183913e-15,0.46866599462365593,-0.004487316795181329,-0.008974633590348446,-0.005257300479428295,29.844608294480196
shape_v177_add_b1.00_s0.30_ae0.08_al0.18_c0.12_dp2.00_transition_global,23808,2.6749269931484423,2.6749269931484423,56.730013824465196,29.702470408806818,2.6749269931484423,56.730013824465196,2.6749269931484423,12.378015175783842,29.844608294480192,add,1.0,0.3,0.15,0.08,0.18,0.12,2.0,shape_v177,transition,global,0.420567321604962,-7.926753638183913e-15,0.46866599462365593,-0.004487316795181329,-0.008974633590348446,-0.005257300479428295,29.844608294480196
shape_v166_add_b1.00_s0.30_ae0.10_al0.20_c0.12_dp1.25_edge_global,23808,2.674926993148459,2.674926993148459,56.729412172141316,29.70216958264489,2.674926993148459,56.729412172141316,2.674926993148459,12.339515991571483,29.8441149723972,add,1.0,0.3,0.15,0.1,0.2,0.12,1.25,shape_v166,edge,global,0.525709152006197,9.082340614352894e-15,0.46866599462365593,-0.004788142957110608,-0.009576285914228322,-0.0057506225624202045,29.844114972397204
shape_v166_add_b1.00_s0.30_ae0.10_al0.20_c0.12_dp1.25_transition_global,23808,2.674926993148459,2.674926993148459,56.729412172141316,29.70216958264489,2.674926993148459,56.729412172141316,2.674926993148459,12.339515991571483,29.8441149723972,add,1.0,0.3,0.15,0.1,0.2,0.12,1.25,shape_v166,transition,global,0.525709152006197,9.082340614352894e-15,0.46866599462365593,-0.004788142957110608,-0.009576285914228322,-0.0057506225624202045,29.844114972397204
shape_v177_add_b1.00_s0.30_ae0.10_al0.20_c0.12_dp1.25_edge_global,23808,2.674926993148459,2.674926993148459,56.729412172141316,29.70216958264489,2.674926993148459,56.729412172141316,2.674926993148459,12.339515991571483,29.8441149723972,add,1.0,0.3,0.15,0.1,0.2,0.12,1.25,shape_v177,edge,global,0.525709152006197,9.082340614352894e-15,0.46866599462365593,-0.004788142957110608,-0.009576285914228322,-0.0057506225624202045,29.844114972397204
shape_v177_add_b1.00_s0.30_ae0.10_al0.20_c0.12_dp1.25_transition_global,23808,2.674926993148459,2.674926993148459,56.729412172141316,29.70216958264489,2.674926993148459,56.729412172141316,2.674926993148459,12.339515991571483,29.8441149723972,add,1.0,0.3,0.15,0.1,0.2,0.12,1.25,shape_v177,transition,global,0.525709152006197,9.082340614352894e-15,0.46866599462365593,-0.004788142957110608,-0.009576285914228322,-0.0057506225624202045,29.844114972397204
shape_v166_add_b1.00_s0.30_ae0.10_al0.20_c0.12_dp2.00_edge_global,23808,2.6749269931484547,2.6749269931484547,56.729412172141316,29.702169582644885,2.6749269931484547,56.729412172141316,2.6749269931484547,12.339515991571462,29.844114972397197,add,1.0,0.3,0.15,0.1,0.2,0.12,2.0,shape_v166,edge,global,0.5257091520062058,4.908857072321123e-15,0.46866599462365593,-0.004788142957114161,-0.009576285914228322,-0.005750622562423757,29.844114972397197
shape_v166_add_b1.00_s0.30_ae0.10_al0.20_c0.12_dp2.00_transition_global,23808,2.6749269931484547,2.6749269931484547,56.729412172141316,29.702169582644885,2.6749269931484547,56.729412172141316,2.6749269931484547,12.339515991571462,29.844114972397197,add,1.0,0.3,0.15,0.1,0.2,0.12,2.0,shape_v166,transition,global,0.5257091520062058,4.908857072321123e-15,0.46866599462365593,-0.004788142957114161,-0.009576285914228322,-0.005750622562423757,29.844114972397197
